product_id,product_description,return_policy,faq_question,faq_answer,review,price,category,brand,product_name,knowledge_text
P-00001,Premium Wireless Headphones,30-day return (full refund),What is the return policy for Premium Wireless Headphones?,You can return it within 30 days for a full refund.,Great product! Exceeded my expectations.,0.0,unknown,unknown,unknown,P-00001 | unknown | unknown | unknown | 0.0
P-00057,Dog Chew Toy,Final sale (no returns),What kind of warranty comes with Dog Chew Toy?,This product includes a standard 1-year manufacturer warranty.,Exactly what I was looking for.,0.0,unknown,unknown,unknown,P-00057 | unknown | unknown | unknown | 0.0
P-00058,Cat Scratching Post,Free returns within 60 days,How do I clean Cat Scratching Post?,Please follow the care instructions included in the packaging.,"Not quite what I expected, but it works.",0.0,unknown,unknown,unknown,P-00058 | unknown | unknown | unknown | 0.0
P-00059,Pet Grooming Brush,Final sale (no returns),How long does shipping take for Pet Grooming Brush?,Standard shipping takes roughly 3-5 business days.,Customer support was incredibly helpful.,0.0,unknown,unknown,unknown,P-00059 | unknown | unknown | unknown | 0.0
P-00060,Fish Tank Filter,Free returns within 60 days,Is Fish Tank Filter durable for everyday use?,"Yes, it is designed with high-quality materials for daily use.",Solid build and looks great in person.,0.0,unknown,unknown,unknown,P-00060 | unknown | unknown | unknown | 0.0
P-00061,Bird Feeder,No returns on sale items,How long does shipping take for Bird Feeder?,Standard shipping takes roughly 3-5 business days.,A bit overpriced for the value.,0.0,unknown,unknown,unknown,P-00061 | unknown | unknown | unknown | 0.0
P-00062,Gardening Tool Set,Free returns within 60 days,How do I clean Gardening Tool Set?,Please follow the care instructions included in the packaging.,Exactly what I was looking for.,0.0,unknown,unknown,unknown,P-00062 | unknown | unknown | unknown | 0.0
P-00063,Plant Pots (Set of 3),45-day exchange policy,What kind of warranty comes with Plant Pots (Set of 3)?,This product includes a standard 1-year manufacturer warranty.,"Good quality, but shipping was a bit slow.",0.0,unknown,unknown,unknown,P-00063 | unknown | unknown | unknown | 0.0
P-00064,LED String Lights,30-day return (full refund),Can LED String Lights be used as a gift?,Absolutely! We also offer gift-wrapping options at checkout.,"Good quality, but shipping was a bit slow.",0.0,unknown,unknown,unknown,P-00064 | unknown | unknown | unknown | 0.0
P-00065,Wall Art Canvas,14-day return (store credit),Is Wall Art Canvas durable for everyday use?,"Yes, it is designed with high-quality materials for daily use.",Exactly what I was looking for.,0.0,unknown,unknown,unknown,P-00065 | unknown | unknown | unknown | 0.0
P-00066,Decorative Throw Pillows,Final sale (no returns),What kind of warranty comes with Decorative Throw Pillows?,This product includes a standard 1-year manufacturer warranty.,Solid build and looks great in person.,0.0,unknown,unknown,unknown,P-00066 | unknown | unknown | unknown | 0.0
P-00067,Blackout Curtains,30-day return (full refund),What kind of warranty comes with Blackout Curtains?,This product includes a standard 1-year manufacturer warranty.,A bit overpriced for the value.,0.0,unknown,unknown,unknown,P-00067 | unknown | unknown | unknown | 0.0
P-00068,Bath Mat,45-day exchange policy,What kind of warranty comes with Bath Mat?,This product includes a standard 1-year manufacturer warranty.,Customer support was incredibly helpful.,0.0,unknown,unknown,unknown,P-00068 | unknown | unknown | unknown | 0.0
P-00069,Shower Curtain,Free returns within 60 days,How long does shipping take for Shower Curtain?,Standard shipping takes roughly 3-5 business days.,The instructions were a bit confusing.,0.0,unknown,unknown,unknown,P-00069 | unknown | unknown | unknown | 0.0
P-00070,Electric Shaver,30-day return (full refund),Is Electric Shaver durable for everyday use?,"Yes, it is designed with high-quality materials for daily use.","Average product, nothing to write home about.",0.0,unknown,unknown,unknown,P-00070 | unknown | unknown | unknown | 0.0
P-00071,Beard Trimmer,30-day return (full refund),Is Beard Trimmer durable for everyday use?,"Yes, it is designed with high-quality materials for daily use.",I use this every day now. Fantastic item!,0.0,unknown,unknown,unknown,P-00071 | unknown | unknown | unknown | 0.0
P-00072,Skincare Gift Set,45-day exchange policy,Can Skincare Gift Set be used as a gift?,Absolutely! We also offer gift-wrapping options at checkout.,Terrible experience. The item broke after a week.,0.0,unknown,unknown,unknown,P-00072 | unknown | unknown | unknown | 0.0
P-00073,Vitamin C Serum,Final sale (no returns),Is Vitamin C Serum available in other colors?,Check our online store for all available color variations.,"Good quality, but shipping was a bit slow.",0.0,unknown,unknown,unknown,P-00073 | unknown | unknown | unknown | 0.0
P-00074,Sunscreen SPF 50,Free returns within 60 days,What kind of warranty comes with Sunscreen SPF 50?,This product includes a standard 1-year manufacturer warranty.,Exactly what I was looking for.,0.0,unknown,unknown,unknown,P-00074 | unknown | unknown | unknown | 0.0
P-00075,Moisturizing Lotion,No returns on sale items,What is the return policy for Moisturizing Lotion?,You can refer to our standard return guidelines stated on the receipt.,"Average product, nothing to write home about.",0.0,unknown,unknown,unknown,P-00075 | unknown | unknown | unknown | 0.0
P-00076,Lip Balm Set,Final sale (no returns),Is Lip Balm Set available in other colors?,Check our online store for all available color variations.,Customer support was incredibly helpful.,0.0,unknown,unknown,unknown,P-00076 | unknown | unknown | unknown | 0.0
P-00077,Makeup Brush Set,14-day return (store credit),How long does shipping take for Makeup Brush Set?,Standard shipping takes roughly 3-5 business days.,I use this every day now. Fantastic item!,0.0,unknown,unknown,unknown,P-00077 | unknown | unknown | unknown | 0.0
P-00078,Eyeshadow Palette,30-day return (full refund),Can Eyeshadow Palette be used as a gift?,Absolutely! We also offer gift-wrapping options at checkout.,Would buy again in a heartbeat.,0.0,unknown,unknown,unknown,P-00078 | unknown | unknown | unknown | 0.0
P-00079,Nail Polish Collection,Free returns within 60 days,Can Nail Polish Collection be used as a gift?,Absolutely! We also offer gift-wrapping options at checkout.,Would buy again in a heartbeat.,0.0,unknown,unknown,unknown,P-00079 | unknown | unknown | unknown | 0.0
P-00080,Perfume (Floral Scent),45-day exchange policy,How long does shipping take for Perfume (Floral Scent)?,Standard shipping takes roughly 3-5 business days.,"Not quite what I expected, but it works.",0.0,unknown,unknown,unknown,P-00080 | unknown | unknown | unknown | 0.0
P-00081,Cologne (Woody Scent),14-day return (store credit),Is Cologne (Woody Scent) available in other colors?,Check our online store for all available color variations.,Arrived earlier than expected in perfect condition.,0.0,unknown,unknown,unknown,P-00081 | unknown | unknown | unknown | 0.0
P-00082,Men's Dress Socks,14-day return (store credit),How long does shipping take for Men's Dress Socks?,Standard shipping takes roughly 3-5 business days.,Arrived earlier than expected in perfect condition.,0.0,unknown,unknown,unknown,P-00082 | unknown | unknown | unknown | 0.0
P-00083,Women's Ankle Socks,45-day exchange policy,What is the return policy for Women's Ankle Socks?,You can refer to our standard return guidelines stated on the receipt.,Solid build and looks great in person.,0.0,unknown,unknown,unknown,P-00083 | unknown | unknown | unknown | 0.0
P-00084,Winter Beanie Hat,Free returns within 60 days,What kind of warranty comes with Winter Beanie Hat?,This product includes a standard 1-year manufacturer warranty.,Amazing product! Highly recommend.,0.0,unknown,unknown,unknown,P-00084 | unknown | unknown | unknown | 0.0
P-00085,Cashmere Scarf,30-day return (full refund),Is Cashmere Scarf available in other colors?,Check our online store for all available color variations.,I use this every day now. Fantastic item!,0.0,unknown,unknown,unknown,P-00085 | unknown | unknown | unknown | 0.0
P-00086,Leather Gloves,Free returns within 60 days,How do I clean Leather Gloves?,Please follow the care instructions included in the packaging.,Amazing product! Highly recommend.,0.0,unknown,unknown,unknown,P-00086 | unknown | unknown | unknown | 0.0
P-00087,Denim Jacket,14-day return (store credit),How long does shipping take for Denim Jacket?,Standard shipping takes roughly 3-5 business days.,"Good quality, but shipping was a bit slow.",0.0,unknown,unknown,unknown,P-00087 | unknown | unknown | unknown | 0.0
P-00088,Fleece Zip-Up Hoodie,30-day return (full refund),Is Fleece Zip-Up Hoodie durable for everyday use?,"Yes, it is designed with high-quality materials for daily use.",My wife loved it. Great buy.,0.0,unknown,unknown,unknown,P-00088 | unknown | unknown | unknown | 0.0
P-00089,Graphic Print Hoodie,30-day return (full refund),Can Graphic Print Hoodie be used as a gift?,Absolutely! We also offer gift-wrapping options at checkout.,Customer support was incredibly helpful.,0.0,unknown,unknown,unknown,P-00089 | unknown | unknown | unknown | 0.0
P-00090,Slim Fit Chinos,14-day return (store credit),How do I clean Slim Fit Chinos?,Please follow the care instructions included in the packaging.,Would buy again in a heartbeat.,0.0,unknown,unknown,unknown,P-00090 | unknown | unknown | unknown | 0.0
P-00091,Yoga Pants,No returns on sale items,How long does shipping take for Yoga Pants?,Standard shipping takes roughly 3-5 business days.,Exactly what I was looking for.,0.0,unknown,unknown,unknown,P-00091 | unknown | unknown | unknown | 0.0
P-00092,Sports Bra,Free returns within 60 days,How long does shipping take for Sports Bra?,Standard shipping takes roughly 3-5 business days.,The instructions were a bit confusing.,0.0,unknown,unknown,unknown,P-00092 | unknown | unknown | unknown | 0.0
P-00093,Athletic Shorts,45-day exchange policy,What kind of warranty comes with Athletic Shorts?,This product includes a standard 1-year manufacturer warranty.,"Not quite what I expected, but it works.",0.0,unknown,unknown,unknown,P-00093 | unknown | unknown | unknown | 0.0
P-00094,Swim Trunks,45-day exchange policy,Can Swim Trunks be used as a gift?,Absolutely! We also offer gift-wrapping options at checkout.,"Average product, nothing to write home about.",0.0,unknown,unknown,unknown,P-00094 | unknown | unknown | unknown | 0.0
P-00095,One-Piece Swimsuit,Final sale (no returns),How do I clean One-Piece Swimsuit?,Please follow the care instructions included in the packaging.,"Average product, nothing to write home about.",0.0,unknown,unknown,unknown,P-00095 | unknown | unknown | unknown | 0.0
P-00096,Camping Sleeping Bag,Free returns within 60 days,What kind of warranty comes with Camping Sleeping Bag?,This product includes a standard 1-year manufacturer warranty.,Would buy again in a heartbeat.,0.0,unknown,unknown,unknown,P-00096 | unknown | unknown | unknown | 0.0
P-00097,Portable Camp Stove,Final sale (no returns),Is Portable Camp Stove available in other colors?,Check our online store for all available color variations.,My wife loved it. Great buy.,0.0,unknown,unknown,unknown,P-00097 | unknown | unknown | unknown | 0.0
P-00098,Trekking Poles,45-day exchange policy,What kind of warranty comes with Trekking Poles?,This product includes a standard 1-year manufacturer warranty.,"Good quality, but shipping was a bit slow.",0.0,unknown,unknown,unknown,P-00098 | unknown | unknown | unknown | 0.0
P-00099,Binoculars,14-day return (store credit),How do I clean Binoculars?,Please follow the care instructions included in the packaging.,"Good quality, but shipping was a bit slow.",0.0,unknown,unknown,unknown,P-00099 | unknown | unknown | unknown | 0.0
P-00100,Telescope,Free returns within 60 days,What is the return policy for Telescope?,You can refer to our standard return guidelines stated on the receipt.,Solid build and looks great in person.,0.0,unknown,unknown,unknown,P-00100 | unknown | unknown | unknown | 0.0
