order_id,product_id,date,quantity,price_order,region,customer_id,discount_pct,payment_method,shipping_status,order_date,product_description,return_policy,faq_question,faq_answer,review,price_product,category,brand,product_name,age,location,purchase_frequency,region_customer,segment,price,total_amount,order_day,order_month,order_weekday,is_weekend,year,month_period
ORD-00023,P-00055,2024-01-05,3,149.99,South,C-00382,0.0,Bank Transfer,Processing,2024-01-05,Handheld Vacuum,Final sale (no returns),Is Handheld Vacuum available in other colors?,Check our online store for all available color variations.,"Not quite what I expected, but it works.",0.0,unknown,unknown,unknown,33,Houston,18,unknown,unknown,0.0,0.0,5,1,4,0,2024,2024-01
ORD-00024,P-00001,2024-01-05,4,799.0,South,C-00261,0.2,Credit Card,Delivered,2024-01-05,Premium Wireless Headphones,30-day return (full refund),What is the return policy for Premium Wireless Headphones?,You can return it within 30 days for a full refund.,Great product! Exceeded my expectations.,0.0,unknown,unknown,unknown,56,Jacksonville,25,unknown,unknown,0.0,0.0,5,1,4,0,2024,2024-01
ORD-00025,P-00091,2024-01-06,3,99.0,West,C-00306,0.05,Bank Transfer,Pending,2024-01-06,Yoga Pants,No returns on sale items,How long does shipping take for Yoga Pants?,Standard shipping takes roughly 3-5 business days.,Exactly what I was looking for.,0.0,unknown,unknown,unknown,19,San Diego,7,unknown,unknown,0.0,0.0,6,1,5,1,2024,2024-01
ORD-00026,P-00042,2024-01-06,1,8.99,North,C-00350,0.2,Debit Card,Pending,2024-01-06,Electric Kettle,Free returns within 60 days,How do I clean Electric Kettle?,Please follow the care instructions included in the packaging.,Would buy again in a heartbeat.,0.0,unknown,unknown,unknown,63,Indianapolis,15,unknown,unknown,0.0,0.0,6,1,5,1,2024,2024-01
ORD-00027,P-00023,2024-01-06,5,14.5,West,C-00081,0.15,Debit Card,Shipped,2024-01-06,Hiking Backpack,30-day return (full refund),Can Hiking Backpack be used as a gift?,Absolutely! We also offer gift-wrapping options at checkout.,Arrived earlier than expected in perfect condition.,0.0,unknown,unknown,unknown,45,Philadelphia,15,unknown,unknown,0.0,0.0,6,1,5,1,2024,2024-01
ORD-00028,P-00042,2024-01-06,2,8.99,East,C-00431,0.1,PayPal,Shipped,2024-01-06,Electric Kettle,Free returns within 60 days,How do I clean Electric Kettle?,Please follow the care instructions included in the packaging.,Would buy again in a heartbeat.,0.0,unknown,unknown,unknown,38,Houston,25,unknown,unknown,0.0,0.0,6,1,5,1,2024,2024-01
ORD-00029,P-00001,2024-01-06,3,799.0,North,C-00307,0.0,Credit Card,Pending,2024-01-06,Premium Wireless Headphones,30-day return (full refund),What is the return policy for Premium Wireless Headphones?,You can return it within 30 days for a full refund.,Great product! Exceeded my expectations.,0.0,unknown,unknown,unknown,19,Boston,5,unknown,unknown,0.0,0.0,6,1,5,1,2024,2024-01
ORD-00030,P-00055,2024-01-06,4,149.99,North,C-00124,0.0,Credit Card,Processing,2024-01-06,Handheld Vacuum,Final sale (no returns),Is Handheld Vacuum available in other colors?,Check our online store for all available color variations.,"Not quite what I expected, but it works.",0.0,unknown,unknown,unknown,39,Nashville,4,unknown,unknown,0.0,0.0,6,1,5,1,2024,2024-01
ORD-00031,P-00023,2024-01-06,9,14.5,South,C-00066,0.1,PayPal,Pending,2024-01-06,Hiking Backpack,30-day return (full refund),Can Hiking Backpack be used as a gift?,Absolutely! We also offer gift-wrapping options at checkout.,Arrived earlier than expected in perfect condition.,0.0,unknown,unknown,unknown,34,Portland,19,unknown,unknown,0.0,0.0,6,1,5,1,2024,2024-01
ORD-00032,P-00042,2024-01-06,10,8.99,West,C-00494,0.1,PayPal,Pending,2024-01-06,Electric Kettle,Free returns within 60 days,How do I clean Electric Kettle?,Please follow the care instructions included in the packaging.,Would buy again in a heartbeat.,0.0,unknown,unknown,unknown,51,Columbus,19,unknown,unknown,0.0,0.0,6,1,5,1,2024,2024-01
ORD-00033,P-00010,2024-01-06,6,19.99,West,C-00461,0.0,PayPal,Shipped,2024-01-06,Children's Building Blocks,No returns on sale items,Is Children's Building Blocks available in different sizes?,Yes check the size chart on our website.,Great gift for kids.,0.0,unknown,unknown,unknown,46,Seattle,16,unknown,unknown,0.0,0.0,6,1,5,1,2024,2024-01
ORD-00034,P-00023,2024-01-06,6,14.5,North,C-00302,0.1,PayPal,Delivered,2024-01-06,Hiking Backpack,30-day return (full refund),Can Hiking Backpack be used as a gift?,Absolutely! We also offer gift-wrapping options at checkout.,Arrived earlier than expected in perfect condition.,0.0,unknown,unknown,unknown,48,New York,24,unknown,unknown,0.0,0.0,6,1,5,1,2024,2024-01
ORD-00035,P-00023,2024-01-06,1,14.5,South,C-00035,0.2,Debit Card,Delivered,2024-01-06,Hiking Backpack,30-day return (full refund),Can Hiking Backpack be used as a gift?,Absolutely! We also offer gift-wrapping options at checkout.,Arrived earlier than expected in perfect condition.,0.0,unknown,unknown,unknown,31,Las Vegas,11,unknown,unknown,0.0,0.0,6,1,5,1,2024,2024-01
ORD-00036,P-00042,2024-01-06,4,8.99,East,C-00343,0.1,PayPal,Processing,2024-01-06,Electric Kettle,Free returns within 60 days,How do I clean Electric Kettle?,Please follow the care instructions included in the packaging.,Would buy again in a heartbeat.,0.0,unknown,unknown,unknown,39,Dallas,20,unknown,unknown,0.0,0.0,6,1,5,1,2024,2024-01
ORD-00037,P-00003,2024-01-07,8,4.99,West,C-00098,0.15,Bank Transfer,Pending,2024-01-07,Stainless Steel Water Bottle,Free returns within 60 days,Is Stainless Steel Water Bottle available in different sizes?,Yes check the size chart on our website.,Absolutely love it! Fast delivery.,0.0,unknown,unknown,unknown,53,Philadelphia,9,unknown,unknown,0.0,0.0,7,1,6,1,2024,2024-01
ORD-00038,P-00010,2024-01-07,7,19.99,West,C-00443,0.15,Credit Card,Delivered,2024-01-07,Children's Building Blocks,No returns on sale items,Is Children's Building Blocks available in different sizes?,Yes check the size chart on our website.,Great gift for kids.,0.0,unknown,unknown,unknown,63,Philadelphia,10,unknown,unknown,0.0,0.0,7,1,6,1,2024,2024-01
ORD-00039,P-00010,2024-01-07,6,19.99,North,C-00128,0.1,Bank Transfer,Shipped,2024-01-07,Children's Building Blocks,No returns on sale items,Is Children's Building Blocks available in different sizes?,Yes check the size chart on our website.,Great gift for kids.,0.0,unknown,unknown,unknown,47,San Diego,3,unknown,unknown,0.0,0.0,7,1,6,1,2024,2024-01
ORD-00040,P-00010,2024-01-07,3,19.99,East,C-00237,0.0,Bank Transfer,Delivered,2024-01-07,Children's Building Blocks,No returns on sale items,Is Children's Building Blocks available in different sizes?,Yes check the size chart on our website.,Great gift for kids.,0.0,unknown,unknown,unknown,56,Miami,11,unknown,unknown,0.0,0.0,7,1,6,1,2024,2024-01
ORD-00041,P-00047,2024-01-08,9,29.99,North,C-00497,0.2,PayPal,Shipped,2024-01-08,Desk Organizer,14-day return (store credit),What kind of warranty comes with Desk Organizer?,This product includes a standard 1-year manufacturer warranty.,A bit overpriced for the value.,0.0,unknown,unknown,unknown,57,Orlando,13,unknown,unknown,0.0,0.0,8,1,0,0,2024,2024-01
ORD-00042,P-00010,2024-01-08,8,19.99,West,C-00110,0.0,PayPal,Processing,2024-01-08,Children's Building Blocks,No returns on sale items,Is Children's Building Blocks available in different sizes?,Yes check the size chart on our website.,Great gift for kids.,0.0,unknown,unknown,unknown,58,Los Angeles,8,unknown,unknown,0.0,0.0,8,1,0,0,2024,2024-01
ORD-00043,P-00047,2024-01-08,7,29.99,East,C-00475,0.05,Debit Card,Processing,2024-01-08,Desk Organizer,14-day return (store credit),What kind of warranty comes with Desk Organizer?,This product includes a standard 1-year manufacturer warranty.,A bit overpriced for the value.,0.0,unknown,unknown,unknown,27,Columbus,21,unknown,unknown,0.0,0.0,8,1,0,0,2024,2024-01
ORD-00044,P-00042,2024-01-08,8,8.99,South,C-00098,0.0,Credit Card,Pending,2024-01-08,Electric Kettle,Free returns within 60 days,How do I clean Electric Kettle?,Please follow the care instructions included in the packaging.,Would buy again in a heartbeat.,0.0,unknown,unknown,unknown,53,Philadelphia,9,unknown,unknown,0.0,0.0,8,1,0,0,2024,2024-01
ORD-00045,P-00047,2024-01-08,1,29.99,West,C-00258,0.1,PayPal,Delivered,2024-01-08,Desk Organizer,14-day return (store credit),What kind of warranty comes with Desk Organizer?,This product includes a standard 1-year manufacturer warranty.,A bit overpriced for the value.,0.0,unknown,unknown,unknown,53,San Diego,4,unknown,unknown,0.0,0.0,8,1,0,0,2024,2024-01
ORD-00046,P-00042,2024-01-08,2,8.99,South,C-00036,0.15,PayPal,Processing,2024-01-08,Electric Kettle,Free returns within 60 days,How do I clean Electric Kettle?,Please follow the care instructions included in the packaging.,Would buy again in a heartbeat.,0.0,unknown,unknown,unknown,24,Chicago,13,unknown,unknown,0.0,0.0,8,1,0,0,2024,2024-01
ORD-00047,P-00023,2024-01-08,10,14.5,South,C-00297,0.1,Credit Card,Processing,2024-01-08,Hiking Backpack,30-day return (full refund),Can Hiking Backpack be used as a gift?,Absolutely! We also offer gift-wrapping options at checkout.,Arrived earlier than expected in perfect condition.,0.0,unknown,unknown,unknown,29,Los Angeles,9,unknown,unknown,0.0,0.0,8,1,0,0,2024,2024-01
ORD-00048,P-00088,2024-01-08,10,249.0,East,C-00479,0.15,Debit Card,Shipped,2024-01-08,Fleece Zip-Up Hoodie,30-day return (full refund),Is Fleece Zip-Up Hoodie durable for everyday use?,"Yes, it is designed with high-quality materials for daily use.",My wife loved it. Great buy.,0.0,unknown,unknown,unknown,23,Orlando,11,unknown,unknown,0.0,0.0,8,1,0,0,2024,2024-01
ORD-00049,P-00055,2024-01-08,7,149.99,South,C-00344,0.05,Debit Card,Delivered,2024-01-08,Handheld Vacuum,Final sale (no returns),Is Handheld Vacuum available in other colors?,Check our online store for all available color variations.,"Not quite what I expected, but it works.",0.0,unknown,unknown,unknown,62,Raleigh,9,unknown,unknown,0.0,0.0,8,1,0,0,2024,2024-01
ORD-00050,P-00047,2024-01-08,8,29.99,North,C-00038,0.1,Debit Card,Shipped,2024-01-08,Desk Organizer,14-day return (store credit),What kind of warranty comes with Desk Organizer?,This product includes a standard 1-year manufacturer warranty.,A bit overpriced for the value.,0.0,unknown,unknown,unknown,56,Dallas,2,unknown,unknown,0.0,0.0,8,1,0,0,2024,2024-01
ORD-00051,P-00001,2024-01-08,2,799.0,South,C-00190,0.05,Debit Card,Delivered,2024-01-08,Premium Wireless Headphones,30-day return (full refund),What is the return policy for Premium Wireless Headphones?,You can return it within 30 days for a full refund.,Great product! Exceeded my expectations.,0.0,unknown,unknown,unknown,45,Phoenix,2,unknown,unknown,0.0,0.0,8,1,0,0,2024,2024-01
ORD-00052,P-00042,2024-01-08,5,8.99,North,C-00481,0.0,Credit Card,Delivered,2024-01-08,Electric Kettle,Free returns within 60 days,How do I clean Electric Kettle?,Please follow the care instructions included in the packaging.,Would buy again in a heartbeat.,0.0,unknown,unknown,unknown,42,Jacksonville,21,unknown,unknown,0.0,0.0,8,1,0,0,2024,2024-01
ORD-00053,P-00042,2024-01-08,3,8.99,East,C-00145,0.15,Debit Card,Shipped,2024-01-08,Electric Kettle,Free returns within 60 days,How do I clean Electric Kettle?,Please follow the care instructions included in the packaging.,Would buy again in a heartbeat.,0.0,unknown,unknown,unknown,21,Denver,16,unknown,unknown,0.0,0.0,8,1,0,0,2024,2024-01
ORD-00054,P-00055,2024-01-08,9,149.99,West,C-00129,0.2,Credit Card,Delivered,2024-01-08,Handheld Vacuum,Final sale (no returns),Is Handheld Vacuum available in other colors?,Check our online store for all available color variations.,"Not quite what I expected, but it works.",0.0,unknown,unknown,unknown,46,Nashville,18,unknown,unknown,0.0,0.0,8,1,0,0,2024,2024-01
ORD-00055,P-00010,2024-01-08,5,19.99,North,C-00002,0.0,Debit Card,Shipped,2024-01-08,Children's Building Blocks,No returns on sale items,Is Children's Building Blocks available in different sizes?,Yes check the size chart on our website.,Great gift for kids.,0.0,unknown,unknown,unknown,28,Los Angeles,5,unknown,unknown,0.0,0.0,8,1,0,0,2024,2024-01
ORD-00056,P-00015,2024-01-09,9,34.5,West,C-00288,0.0,PayPal,Delivered,2024-01-09,Ceramic Coffee Mug,45-day exchange policy,What is the return policy for Ceramic Coffee Mug?,You can refer to our standard return guidelines stated on the receipt.,Solid build and looks great in person.,0.0,unknown,unknown,unknown,35,Columbus,16,unknown,unknown,0.0,0.0,9,1,1,0,2024,2024-01
ORD-00057,P-00001,2024-01-10,10,799.0,South,C-00221,0.0,Debit Card,Delivered,2024-01-10,Premium Wireless Headphones,30-day return (full refund),What is the return policy for Premium Wireless Headphones?,You can return it within 30 days for a full refund.,Great product! Exceeded my expectations.,0.0,unknown,unknown,unknown,61,Portland,24,unknown,unknown,0.0,0.0,10,1,2,0,2024,2024-01
ORD-00058,P-00001,2024-01-11,4,799.0,South,C-00342,0.2,Bank Transfer,Shipped,2024-01-11,Premium Wireless Headphones,30-day return (full refund),What is the return policy for Premium Wireless Headphones?,You can return it within 30 days for a full refund.,Great product! Exceeded my expectations.,0.0,unknown,unknown,unknown,40,Nashville,9,unknown,unknown,0.0,0.0,11,1,3,0,2024,2024-01
ORD-00059,P-00003,2024-01-11,3,4.99,South,C-00452,0.0,Debit Card,Processing,2024-01-11,Stainless Steel Water Bottle,Free returns within 60 days,Is Stainless Steel Water Bottle available in different sizes?,Yes check the size chart on our website.,Absolutely love it! Fast delivery.,0.0,unknown,unknown,unknown,53,Phoenix,13,unknown,unknown,0.0,0.0,11,1,3,0,2024,2024-01
ORD-00060,P-00003,2024-01-11,5,4.99,South,C-00404,0.05,Credit Card,Processing,2024-01-11,Stainless Steel Water Bottle,Free returns within 60 days,Is Stainless Steel Water Bottle available in different sizes?,Yes check the size chart on our website.,Absolutely love it! Fast delivery.,0.0,unknown,unknown,unknown,35,Baltimore,5,unknown,unknown,0.0,0.0,11,1,3,0,2024,2024-01
ORD-00061,P-00003,2024-01-11,4,4.99,West,C-00180,0.2,PayPal,Shipped,2024-01-11,Stainless Steel Water Bottle,Free returns within 60 days,Is Stainless Steel Water Bottle available in different sizes?,Yes check the size chart on our website.,Absolutely love it! Fast delivery.,0.0,unknown,unknown,unknown,23,Miami,14,unknown,unknown,0.0,0.0,11,1,3,0,2024,2024-01
ORD-00062,P-00047,2024-01-11,4,29.99,West,C-00169,0.0,Debit Card,Pending,2024-01-11,Desk Organizer,14-day return (store credit),What kind of warranty comes with Desk Organizer?,This product includes a standard 1-year manufacturer warranty.,A bit overpriced for the value.,0.0,unknown,unknown,unknown,59,San Francisco,1,unknown,unknown,0.0,0.0,11,1,3,0,2024,2024-01
ORD-00063,P-00042,2024-01-12,7,8.99,East,C-00481,0.0,PayPal,Pending,2024-01-12,Electric Kettle,Free returns within 60 days,How do I clean Electric Kettle?,Please follow the care instructions included in the packaging.,Would buy again in a heartbeat.,0.0,unknown,unknown,unknown,42,Jacksonville,21,unknown,unknown,0.0,0.0,12,1,4,0,2024,2024-01
ORD-00064,P-00047,2024-01-12,2,29.99,West,C-00177,0.0,Bank Transfer,Delivered,2024-01-12,Desk Organizer,14-day return (store credit),What kind of warranty comes with Desk Organizer?,This product includes a standard 1-year manufacturer warranty.,A bit overpriced for the value.,0.0,unknown,unknown,unknown,31,Atlanta,21,unknown,unknown,0.0,0.0,12,1,4,0,2024,2024-01
ORD-00065,P-00010,2024-01-13,10,19.99,South,C-00131,0.05,Credit Card,Shipped,2024-01-13,Children's Building Blocks,No returns on sale items,Is Children's Building Blocks available in different sizes?,Yes check the size chart on our website.,Great gift for kids.,0.0,unknown,unknown,unknown,52,Baltimore,1,unknown,unknown,0.0,0.0,13,1,5,1,2024,2024-01
ORD-00066,P-00001,2024-01-13,7,799.0,North,C-00486,0.0,Debit Card,Delivered,2024-01-13,Premium Wireless Headphones,30-day return (full refund),What is the return policy for Premium Wireless Headphones?,You can return it within 30 days for a full refund.,Great product! Exceeded my expectations.,0.0,unknown,unknown,unknown,36,San Diego,24,unknown,unknown,0.0,0.0,13,1,5,1,2024,2024-01
ORD-00067,P-00055,2024-01-13,9,149.99,East,C-00342,0.05,Debit Card,Shipped,2024-01-13,Handheld Vacuum,Final sale (no returns),Is Handheld Vacuum available in other colors?,Check our online store for all available color variations.,"Not quite what I expected, but it works.",0.0,unknown,unknown,unknown,40,Nashville,9,unknown,unknown,0.0,0.0,13,1,5,1,2024,2024-01
ORD-00068,P-00003,2024-01-13,7,4.99,West,C-00347,0.0,Debit Card,Processing,2024-01-13,Stainless Steel Water Bottle,Free returns within 60 days,Is Stainless Steel Water Bottle available in different sizes?,Yes check the size chart on our website.,Absolutely love it! Fast delivery.,0.0,unknown,unknown,unknown,64,Columbus,16,unknown,unknown,0.0,0.0,13,1,5,1,2024,2024-01
ORD-00069,P-00042,2024-01-13,1,8.99,East,C-00147,0.2,Debit Card,Processing,2024-01-13,Electric Kettle,Free returns within 60 days,How do I clean Electric Kettle?,Please follow the care instructions included in the packaging.,Would buy again in a heartbeat.,0.0,unknown,unknown,unknown,28,Los Angeles,17,unknown,unknown,0.0,0.0,13,1,5,1,2024,2024-01
ORD-00070,P-00015,2024-01-13,8,34.5,South,C-00262,0.2,PayPal,Delivered,2024-01-13,Ceramic Coffee Mug,45-day exchange policy,What is the return policy for Ceramic Coffee Mug?,You can refer to our standard return guidelines stated on the receipt.,Solid build and looks great in person.,0.0,unknown,unknown,unknown,46,Boston,24,unknown,unknown,0.0,0.0,13,1,5,1,2024,2024-01
ORD-00071,P-00055,2024-01-13,9,149.99,East,C-00048,0.2,PayPal,Pending,2024-01-13,Handheld Vacuum,Final sale (no returns),Is Handheld Vacuum available in other colors?,Check our online store for all available color variations.,"Not quite what I expected, but it works.",0.0,unknown,unknown,unknown,47,Miami,12,unknown,unknown,0.0,0.0,13,1,5,1,2024,2024-01
ORD-00072,P-00003,2024-01-14,4,4.99,South,C-00013,0.05,Credit Card,Processing,2024-01-14,Stainless Steel Water Bottle,Free returns within 60 days,Is Stainless Steel Water Bottle available in different sizes?,Yes check the size chart on our website.,Absolutely love it! Fast delivery.,0.0,unknown,unknown,unknown,39,Fort Worth,13,unknown,unknown,0.0,0.0,14,1,6,1,2024,2024-01
ORD-00073,P-00010,2024-01-14,10,19.99,South,C-00368,0.05,Bank Transfer,Shipped,2024-01-14,Children's Building Blocks,No returns on sale items,Is Children's Building Blocks available in different sizes?,Yes check the size chart on our website.,Great gift for kids.,0.0,unknown,unknown,unknown,29,San Jose,1,unknown,unknown,0.0,0.0,14,1,6,1,2024,2024-01
ORD-00074,P-00091,2024-01-14,1,99.0,North,C-00399,0.0,Bank Transfer,Delivered,2024-01-14,Yoga Pants,No returns on sale items,How long does shipping take for Yoga Pants?,Standard shipping takes roughly 3-5 business days.,Exactly what I was looking for.,0.0,unknown,unknown,unknown,22,Atlanta,8,unknown,unknown,0.0,0.0,14,1,6,1,2024,2024-01
ORD-00075,P-00042,2024-01-15,4,8.99,North,C-00234,0.05,Debit Card,Processing,2024-01-15,Electric Kettle,Free returns within 60 days,How do I clean Electric Kettle?,Please follow the care instructions included in the packaging.,Would buy again in a heartbeat.,0.0,unknown,unknown,unknown,43,Seattle,1,unknown,unknown,0.0,0.0,15,1,0,0,2024,2024-01
