Product_ID,Product_Name,Product_Description,Category,Brand,Base_Price,Price,Margin_Pct,Launch_Date,Popularity_Score,Return_Policy,FAQ_Question,FAQ_Answer,Review
P016,Samsung Electronics Product 016,Samsung Electronics Product 016 designed for reliable retail use.,Electronics,Samsung,5080.0,5080.0,0.19,2024-07-01 00:00:00,0.012357414448669203,15 days return,How long does delivery take?,COD may be available depending on region.,Good quality and value for money.
P017,Loreal Beauty Product 017,Loreal Beauty Product 017 designed for reliable retail use.,Beauty,Loreal,360.0,360.0,0.156,2025-07-04 00:00:00,0.006444866920152092,15 days return,Is this product eligible for return?,Delivery usually takes 2 to 5 business days.,Excellent customer experience and packaging.
P018,Philips Home Product 018,Philips Home Product 018 designed for reliable retail use.,Home,Philips,4420.0,4420.0,0.259,2024-06-25 00:00:00,0.01002851711026616,10 days return,Is cash on delivery available?,Returns are accepted if product is unused.,Fast delivery and product matched description.
P019,Britannia Grocery Product 019,Britannia Grocery Product 019 designed for reliable retail use.,Grocery,Britannia,1010.0,1010.0,0.086,2024-03-04 00:00:00,0.007300380228136883,15 days return,How long does delivery take?,Delivery usually takes 2 to 5 business days.,Average product but acceptable for the price.
P020,Godrej Home Product 020,Godrej Home Product 020 designed for reliable retail use.,Home,Godrej,3050.0,3050.0,0.215,2024-02-24 00:00:00,0.007946768060836502,10 days return,How long does delivery take?,Warranty depends on category and seller policy.,Good quality and value for money.
P021,Sony Electronics Product 021,Sony Electronics Product 021 designed for reliable retail use.,Electronics,Sony,15220.0,15220.0,0.183,2024-05-23 00:00:00,0.011720532319391637,10 days return,Is this product eligible for return?,Delivery usually takes 2 to 5 business days.,Good quality and value for money.
P022,Philips Home Product 022,Philips Home Product 022 designed for reliable retail use.,Home,Philips,2060.0,2060.0,0.112,2024-06-29 00:00:00,0.004695817490494297,No return on opened pack,How long does delivery take?,COD may be available depending on region.,Good quality and value for money.
P023,Nike Sports Product 023,Nike Sports Product 023 designed for reliable retail use.,Sports,Nike,10320.0,10320.0,0.152,2025-04-03 00:00:00,0.006492395437262359,15 days return,Is cash on delivery available?,Warranty depends on category and seller policy.,Average product but acceptable for the price.
P024,Mamaearth Beauty Product 024,Mamaearth Beauty Product 024 designed for reliable retail use.,Beauty,Mamaearth,2110.0,2110.0,0.154,2025-08-04 00:00:00,0.006397338403041826,10 days return,How long does delivery take?,Warranty depends on category and seller policy.,Average product but acceptable for the price.
P025,HP Electronics Product 025,HP Electronics Product 025 designed for reliable retail use.,Electronics,HP,36430.0,36430.0,0.135,2025-03-08 00:00:00,0.012300380228136884,7 days replacement,Is cash on delivery available?,Returns are accepted if product is unused.,Fast delivery and product matched description.
P026,Tata Grocery Product 026,Tata Grocery Product 026 designed for reliable retail use.,Grocery,Tata,100.0,100.0,0.285,2024-07-02 00:00:00,0.004695817490494297,10 days return,What is the warranty period?,COD may be available depending on region.,Excellent customer experience and packaging.
P027,Ikea Home Product 027,Ikea Home Product 027 designed for reliable retail use.,Home,Ikea,2710.0,2710.0,0.238,2024-02-26 00:00:00,0.009581749049429659,7 days replacement,Is cash on delivery available?,COD may be available depending on region.,Fast delivery and product matched description.
P028,Samsung Electronics Product 028,Samsung Electronics Product 028 designed for reliable retail use.,Electronics,Samsung,4650.0,4650.0,0.213,2025-01-24 00:00:00,0.010237642585551331,10 days return,What is the warranty period?,Warranty depends on category and seller policy.,Excellent customer experience and packaging.
P029,AllenSolly Fashion Product 029,AllenSolly Fashion Product 029 designed for reliable retail use.,Fashion,AllenSolly,480.0,480.0,0.239,2025-04-21 00:00:00,0.014372623574144488,7 days replacement,Is this product eligible for return?,Returns are accepted if product is unused.,Excellent customer experience and packaging.
P030,Puma Sports Product 030,Puma Sports Product 030 designed for reliable retail use.,Sports,Puma,2700.0,2700.0,0.24,2024-04-12 00:00:00,0.004923954372623575,10 days return,Is cash on delivery available?,Delivery usually takes 2 to 5 business days.,Fast delivery and product matched description.
P031,Dell Electronics Product 031,Dell Electronics Product 031 designed for reliable retail use.,Electronics,Dell,46160.0,46160.0,0.291,2024-02-08 00:00:00,0.006131178707224336,15 days return,How long does delivery take?,COD may be available depending on region.,Excellent customer experience and packaging.
P032,Amul Grocery Product 032,Amul Grocery Product 032 designed for reliable retail use.,Grocery,Amul,310.0,310.0,0.234,2024-02-19 00:00:00,0.010884030418250952,No return on opened pack,What is the warranty period?,Returns are accepted if product is unused.,Fast delivery and product matched description.
P033,FreshKart Grocery Product 033,FreshKart Grocery Product 033 designed for reliable retail use.,Grocery,FreshKart,130.0,130.0,0.221,2025-05-24 00:00:00,0.006796577946768061,15 days return,What is the warranty period?,Returns are accepted if product is unused.,Fast delivery and product matched description.
P034,Samsung Electronics Product 034,Samsung Electronics Product 034 designed for reliable retail use.,Electronics,Samsung,26380.0,26380.0,0.118,2024-09-20 00:00:00,0.01002851711026616,7 days replacement,What is the warranty period?,Returns are accepted if product is unused.,Good quality and value for money.
P035,FreshKart Grocery Product 035,FreshKart Grocery Product 035 designed for reliable retail use.,Grocery,FreshKart,70.0,70.0,0.156,2024-05-26 00:00:00,0.007889733840304183,15 days return,What is the warranty period?,Returns are accepted if product is unused.,Average product but acceptable for the price.
P036,Philips Home Product 036,Philips Home Product 036 designed for reliable retail use.,Home,Philips,10110.0,10110.0,0.327,2025-01-30 00:00:00,0.012775665399239546,10 days return,Is this product eligible for return?,Delivery usually takes 2 to 5 business days.,Fast delivery and product matched description.
P037,AllenSolly Fashion Product 037,AllenSolly Fashion Product 037 designed for reliable retail use.,Fashion,AllenSolly,340.0,340.0,0.18,2024-07-04 00:00:00,0.0070912547528517115,No return on opened pack,How long does delivery take?,Returns are accepted if product is unused.,Good quality and value for money.
P038,Lakme Beauty Product 038,Lakme Beauty Product 038 designed for reliable retail use.,Beauty,Lakme,480.0,480.0,0.159,2025-05-12 00:00:00,0.012604562737642587,No return on opened pack,Is cash on delivery available?,Delivery usually takes 2 to 5 business days.,Excellent customer experience and packaging.
P039,Nestle Grocery Product 039,Nestle Grocery Product 039 designed for reliable retail use.,Grocery,Nestle,130.0,130.0,0.124,2024-11-15 00:00:00,0.007328897338403043,7 days replacement,What is the warranty period?,Warranty depends on category and seller policy.,Excellent customer experience and packaging.
P040,Britannia Grocery Product 040,Britannia Grocery Product 040 designed for reliable retail use.,Grocery,Britannia,1940.0,1940.0,0.282,2024-01-27 00:00:00,0.010076045627376427,15 days return,What is the warranty period?,Returns are accepted if product is unused.,Fast delivery and product matched description.
P041,Adidas Sports Product 041,Adidas Sports Product 041 designed for reliable retail use.,Sports,Adidas,9700.0,9700.0,0.165,2024-01-14 00:00:00,0.010456273764258558,No return on opened pack,Is this product eligible for return?,Delivery usually takes 2 to 5 business days.,Fast delivery and product matched description.
P042,Prestige Home Product 042,Prestige Home Product 042 designed for reliable retail use.,Home,Prestige,2160.0,2160.0,0.282,2025-04-08 00:00:00,0.010931558935361217,No return on opened pack,Is this product eligible for return?,Warranty depends on category and seller policy.,Excellent customer experience and packaging.
P043,AllenSolly Fashion Product 043,AllenSolly Fashion Product 043 designed for reliable retail use.,Fashion,AllenSolly,6500.0,6500.0,0.113,2024-02-10 00:00:00,0.004952471482889734,7 days replacement,What is the warranty period?,Warranty depends on category and seller policy.,Good quality and value for money.
P044,Dell Electronics Product 044,Dell Electronics Product 044 designed for reliable retail use.,Electronics,Dell,1710.0,1710.0,0.316,2025-05-13 00:00:00,0.014372623574144488,10 days return,How long does delivery take?,Delivery usually takes 2 to 5 business days.,Excellent customer experience and packaging.
P045,H&M Fashion Product 045,H&M Fashion Product 045 designed for reliable retail use.,Fashion,H&M,830.0,830.0,0.342,2024-10-26 00:00:00,0.011644486692015212,No return on opened pack,What is the warranty period?,Returns are accepted if product is unused.,Excellent customer experience and packaging.
P046,Samsung Electronics Product 046,Samsung Electronics Product 046 designed for reliable retail use.,Electronics,Samsung,850.0,850.0,0.116,2024-10-27 00:00:00,0.014192015209125478,No return on opened pack,Is cash on delivery available?,Delivery usually takes 2 to 5 business days.,Average product but acceptable for the price.
P047,Philips Home Product 047,Philips Home Product 047 designed for reliable retail use.,Home,Philips,810.0,810.0,0.267,2025-04-04 00:00:00,0.009344106463878328,No return on opened pack,Is this product eligible for return?,Returns are accepted if product is unused.,Average product but acceptable for the price.
P048,H&M Fashion Product 048,H&M Fashion Product 048 designed for reliable retail use.,Fashion,H&M,4210.0,4210.0,0.28,2024-12-14 00:00:00,0.01255703422053232,7 days replacement,What is the warranty period?,COD may be available depending on region.,Good quality and value for money.
P049,Samsung Electronics Product 049,Samsung Electronics Product 049 designed for reliable retail use.,Electronics,Samsung,1350.0,1350.0,0.187,2025-08-06 00:00:00,0.011131178707224337,No return on opened pack,Is this product eligible for return?,Warranty depends on category and seller policy.,Good quality and value for money.
P050,Aashirvaad Grocery Product 050,Aashirvaad Grocery Product 050 designed for reliable retail use.,Grocery,Aashirvaad,580.0,580.0,0.157,2024-06-29 00:00:00,0.013954372623574145,7 days replacement,What is the warranty period?,Returns are accepted if product is unused.,Excellent customer experience and packaging.
P051,Nike Sports Product 051,Nike Sports Product 051 designed for reliable retail use.,Sports,Nike,280.0,280.0,0.251,2025-05-19 00:00:00,0.010313688212927757,10 days return,What is the warranty period?,Warranty depends on category and seller policy.,Excellent customer experience and packaging.
P052,Lenovo Electronics Product 052,Lenovo Electronics Product 052 designed for reliable retail use.,Electronics,Lenovo,4710.0,4710.0,0.241,2024-03-04 00:00:00,0.017880228136882132,15 days return,Is this product eligible for return?,COD may be available depending on region.,Fast delivery and product matched description.
P053,Decathlon Sports Product 053,Decathlon Sports Product 053 designed for reliable retail use.,Sports,Decathlon,6730.0,6730.0,0.292,2025-05-23 00:00:00,0.004638783269961978,No return on opened pack,Is this product eligible for return?,COD may be available depending on region.,Excellent customer experience and packaging.
P054,Lenovo Electronics Product 054,Lenovo Electronics Product 054 designed for reliable retail use.,Electronics,Lenovo,26730.0,26730.0,0.143,2024-01-11 00:00:00,0.007328897338403043,7 days replacement,What is the warranty period?,Delivery usually takes 2 to 5 business days.,Good quality and value for money.
P055,FreshKart Grocery Product 055,FreshKart Grocery Product 055 designed for reliable retail use.,Grocery,FreshKart,470.0,470.0,0.181,2025-07-09 00:00:00,0.007747148288973384,10 days return,Is cash on delivery available?,Returns are accepted if product is unused.,Average product but acceptable for the price.
P056,Ikea Home Product 056,Ikea Home Product 056 designed for reliable retail use.,Home,Ikea,14890.0,14890.0,0.147,2024-09-12 00:00:00,0.004629277566539925,10 days return,Is cash on delivery available?,COD may be available depending on region.,Fast delivery and product matched description.
P057,Puma Fashion Product 057,Puma Fashion Product 057 designed for reliable retail use.,Fashion,Puma,3470.0,3470.0,0.108,2025-06-12 00:00:00,0.015617870722433463,15 days return,What is the warranty period?,COD may be available depending on region.,Good quality and value for money.
P058,Godrej Home Product 058,Godrej Home Product 058 designed for reliable retail use.,Home,Godrej,890.0,890.0,0.164,2024-02-09 00:00:00,0.015256653992395439,15 days return,What is the warranty period?,Warranty depends on category and seller policy.,Fast delivery and product matched description.
P059,Boat Electronics Product 059,Boat Electronics Product 059 designed for reliable retail use.,Electronics,Boat,39370.0,39370.0,0.157,2024-12-12 00:00:00,0.010950570342205323,15 days return,Is this product eligible for return?,COD may be available depending on region.,Fast delivery and product matched description.
P060,Boat Electronics Product 060,Boat Electronics Product 060 designed for reliable retail use.,Electronics,Boat,870.0,870.0,0.127,2024-04-02 00:00:00,0.008621673003802283,No return on opened pack,Is cash on delivery available?,Warranty depends on category and seller policy.,Good quality and value for money.
P061,Apple Electronics Product 061,Apple Electronics Product 061 designed for reliable retail use.,Electronics,Apple,9750.0,9750.0,0.186,2025-05-11 00:00:00,0.012870722433460078,15 days return,What is the warranty period?,Warranty depends on category and seller policy.,Average product but acceptable for the price.
P062,Aashirvaad Grocery Product 062,Aashirvaad Grocery Product 062 designed for reliable retail use.,Grocery,Aashirvaad,1260.0,1260.0,0.092,2024-07-09 00:00:00,0.007100760456273765,15 days return,Is this product eligible for return?,Delivery usually takes 2 to 5 business days.,Excellent customer experience and packaging.
P063,Levis Fashion Product 063,Levis Fashion Product 063 designed for reliable retail use.,Fashion,Levis,650.0,650.0,0.234,2025-07-23 00:00:00,0.016473384030418255,7 days replacement,What is the warranty period?,Warranty depends on category and seller policy.,Fast delivery and product matched description.
P064,Samsung Electronics Product 064,Samsung Electronics Product 064 designed for reliable retail use.,Electronics,Samsung,3890.0,3890.0,0.107,2024-09-06 00:00:00,0.010370722433460077,15 days return,Is this product eligible for return?,Delivery usually takes 2 to 5 business days.,Fast delivery and product matched description.
P065,Lakme Beauty Product 065,Lakme Beauty Product 065 designed for reliable retail use.,Beauty,Lakme,180.0,180.0,0.107,2025-05-17 00:00:00,0.011102661596958175,15 days return,Is cash on delivery available?,Warranty depends on category and seller policy.,Average product but acceptable for the price.
P066,Adidas Sports Product 066,Adidas Sports Product 066 designed for reliable retail use.,Sports,Adidas,13800.0,13800.0,0.29,2025-05-21 00:00:00,0.00793726235741445,10 days return,What is the warranty period?,COD may be available depending on region.,Excellent customer experience and packaging.
P067,UrbanLadder Home Product 067,UrbanLadder Home Product 067 designed for reliable retail use.,Home,UrbanLadder,10530.0,10530.0,0.225,2024-07-12 00:00:00,0.009163498098859316,10 days return,Is this product eligible for return?,Returns are accepted if product is unused.,Fast delivery and product matched description.
P068,Mamaearth Beauty Product 068,Mamaearth Beauty Product 068 designed for reliable retail use.,Beauty,Mamaearth,830.0,830.0,0.253,2024-11-04 00:00:00,0.008716730038022815,7 days replacement,Is this product eligible for return?,COD may be available depending on region.,Excellent customer experience and packaging.
P069,AllenSolly Fashion Product 069,AllenSolly Fashion Product 069 designed for reliable retail use.,Fashion,AllenSolly,470.0,470.0,0.193,2024-12-28 00:00:00,0.0036596958174904947,10 days return,Is cash on delivery available?,Returns are accepted if product is unused.,Good quality and value for money.
P070,Puma Fashion Product 070,Puma Fashion Product 070 designed for reliable retail use.,Fashion,Puma,1000.0,1000.0,0.182,2024-05-19 00:00:00,0.008412547528517111,7 days replacement,How long does delivery take?,Returns are accepted if product is unused.,Fast delivery and product matched description.
P071,Philips Home Product 071,Philips Home Product 071 designed for reliable retail use.,Home,Philips,1600.0,1600.0,0.327,2025-05-27 00:00:00,0.013830798479087454,15 days return,Is cash on delivery available?,Returns are accepted if product is unused.,Fast delivery and product matched description.
P072,Zara Fashion Product 072,Zara Fashion Product 072 designed for reliable retail use.,Fashion,Zara,1740.0,1740.0,0.256,2024-10-15 00:00:00,0.015304182509505706,10 days return,How long does delivery take?,COD may be available depending on region.,Average product but acceptable for the price.
P073,Lakme Beauty Product 073,Lakme Beauty Product 073 designed for reliable retail use.,Beauty,Lakme,1070.0,1070.0,0.158,2024-04-16 00:00:00,0.009724334600760456,15 days return,Is cash on delivery available?,Delivery usually takes 2 to 5 business days.,Average product but acceptable for the price.
P074,Zara Fashion Product 074,Zara Fashion Product 074 designed for reliable retail use.,Fashion,Zara,2940.0,2940.0,0.246,2025-03-16 00:00:00,0.008868821292775667,7 days replacement,Is cash on delivery available?,Returns are accepted if product is unused.,Average product but acceptable for the price.
P075,Samsung Electronics Product 075,Samsung Electronics Product 075 designed for reliable retail use.,Electronics,Samsung,17240.0,17240.0,0.333,2025-03-10 00:00:00,0.01193916349809886,7 days replacement,How long does delivery take?,COD may be available depending on region.,Average product but acceptable for the price.
P076,Yonex Sports Product 076,Yonex Sports Product 076 designed for reliable retail use.,Sports,Yonex,6640.0,6640.0,0.291,2024-03-23 00:00:00,0.014534220532319392,7 days replacement,How long does delivery take?,Returns are accepted if product is unused.,Average product but acceptable for the price.
P077,Lakme Beauty Product 077,Lakme Beauty Product 077 designed for reliable retail use.,Beauty,Lakme,4920.0,4920.0,0.239,2024-01-31 00:00:00,0.009610266159695818,No return on opened pack,What is the warranty period?,Returns are accepted if product is unused.,Average product but acceptable for the price.
P078,Philips Home Product 078,Philips Home Product 078 designed for reliable retail use.,Home,Philips,980.0,980.0,0.235,2024-02-27 00:00:00,0.013346007604562738,7 days replacement,Is cash on delivery available?,COD may be available depending on region.,Good quality and value for money.
P079,Britannia Grocery Product 079,Britannia Grocery Product 079 designed for reliable retail use.,Grocery,Britannia,340.0,340.0,0.296,2024-11-06 00:00:00,0.009743346007604563,15 days return,Is cash on delivery available?,Delivery usually takes 2 to 5 business days.,Average product but acceptable for the price.
P080,Philips Home Product 080,Philips Home Product 080 designed for reliable retail use.,Home,Philips,19100.0,19100.0,0.112,2024-10-22 00:00:00,0.011473384030418253,15 days return,Is this product eligible for return?,Returns are accepted if product is unused.,Excellent customer experience and packaging.
P081,Apple Electronics Product 081,Apple Electronics Product 081 designed for reliable retail use.,Electronics,Apple,12930.0,12930.0,0.289,2024-05-04 00:00:00,0.01231939163498099,10 days return,Is cash on delivery available?,Delivery usually takes 2 to 5 business days.,Good quality and value for money.
P082,Nike Fashion Product 082,Nike Fashion Product 082 designed for reliable retail use.,Fashion,Nike,5730.0,5730.0,0.153,2025-02-06 00:00:00,0.010285171102661599,15 days return,Is this product eligible for return?,Delivery usually takes 2 to 5 business days.,Average product but acceptable for the price.
P083,Puma Fashion Product 083,Puma Fashion Product 083 designed for reliable retail use.,Fashion,Puma,840.0,840.0,0.12,2024-02-21 00:00:00,0.009001901140684412,No return on opened pack,How long does delivery take?,Returns are accepted if product is unused.,Excellent customer experience and packaging.
P084,Britannia Grocery Product 084,Britannia Grocery Product 084 designed for reliable retail use.,Grocery,Britannia,210.0,210.0,0.229,2025-07-15 00:00:00,0.01443916349809886,10 days return,What is the warranty period?,COD may be available depending on region.,Average product but acceptable for the price.
P085,Nike Sports Product 085,Nike Sports Product 085 designed for reliable retail use.,Sports,Nike,6100.0,6100.0,0.182,2025-01-26 00:00:00,0.01231939163498099,10 days return,Is cash on delivery available?,Returns are accepted if product is unused.,Fast delivery and product matched description.
P086,Godrej Home Product 086,Godrej Home Product 086 designed for reliable retail use.,Home,Godrej,20650.0,20650.0,0.31,2025-08-14 00:00:00,0.01134980988593156,7 days replacement,What is the warranty period?,Returns are accepted if product is unused.,Excellent customer experience and packaging.
P087,UrbanLadder Home Product 087,UrbanLadder Home Product 087 designed for reliable retail use.,Home,UrbanLadder,810.0,810.0,0.265,2024-11-22 00:00:00,0.014838403041825095,7 days replacement,How long does delivery take?,Delivery usually takes 2 to 5 business days.,Fast delivery and product matched description.
P088,Britannia Grocery Product 088,Britannia Grocery Product 088 designed for reliable retail use.,Grocery,Britannia,1050.0,1050.0,0.204,2024-01-08 00:00:00,0.005342205323193918,No return on opened pack,How long does delivery take?,Delivery usually takes 2 to 5 business days.,Fast delivery and product matched description.
P089,Aashirvaad Grocery Product 089,Aashirvaad Grocery Product 089 designed for reliable retail use.,Grocery,Aashirvaad,150.0,150.0,0.291,2024-11-22 00:00:00,0.011245247148288975,7 days replacement,What is the warranty period?,Delivery usually takes 2 to 5 business days.,Fast delivery and product matched description.
P090,Adidas Sports Product 090,Adidas Sports Product 090 designed for reliable retail use.,Sports,Adidas,9150.0,9150.0,0.306,2024-03-07 00:00:00,0.00793726235741445,No return on opened pack,What is the warranty period?,Returns are accepted if product is unused.,Good quality and value for money.
P091,Realme Electronics Product 091,Realme Electronics Product 091 designed for reliable retail use.,Electronics,Realme,54790.0,54790.0,0.256,2025-01-08 00:00:00,0.007300380228136883,10 days return,How long does delivery take?,COD may be available depending on region.,Excellent customer experience and packaging.
P092,Puma Sports Product 092,Puma Sports Product 092 designed for reliable retail use.,Sports,Puma,280.0,280.0,0.119,2024-02-24 00:00:00,0.007157794676806085,No return on opened pack,How long does delivery take?,Returns are accepted if product is unused.,Excellent customer experience and packaging.
P093,Mamaearth Beauty Product 093,Mamaearth Beauty Product 093 designed for reliable retail use.,Beauty,Mamaearth,310.0,310.0,0.257,2025-06-29 00:00:00,0.008193916349809887,15 days return,Is this product eligible for return?,COD may be available depending on region.,Excellent customer experience and packaging.
P094,Dell Electronics Product 094,Dell Electronics Product 094 designed for reliable retail use.,Electronics,Dell,1000.0,1000.0,0.296,2024-01-22 00:00:00,0.0033269961977186314,15 days return,How long does delivery take?,Warranty depends on category and seller policy.,Average product but acceptable for the price.
P095,H&M Fashion Product 095,H&M Fashion Product 095 designed for reliable retail use.,Fashion,H&M,4880.0,4880.0,0.296,2025-08-03 00:00:00,0.007252851711026617,15 days return,Is cash on delivery available?,COD may be available depending on region.,Good quality and value for money.
P096,Loreal Beauty Product 096,Loreal Beauty Product 096 designed for reliable retail use.,Beauty,Loreal,1970.0,1970.0,0.091,2025-07-10 00:00:00,0.013925855513307987,10 days return,Is this product eligible for return?,Delivery usually takes 2 to 5 business days.,Fast delivery and product matched description.
P097,Adidas Fashion Product 097,Adidas Fashion Product 097 designed for reliable retail use.,Fashion,Adidas,450.0,450.0,0.281,2024-11-24 00:00:00,0.009182509505703422,10 days return,What is the warranty period?,Delivery usually takes 2 to 5 business days.,Excellent customer experience and packaging.
P098,Maybelline Beauty Product 098,Maybelline Beauty Product 098 designed for reliable retail use.,Beauty,Maybelline,270.0,270.0,0.132,2025-01-13 00:00:00,0.004581749049429658,No return on opened pack,How long does delivery take?,Warranty depends on category and seller policy.,Fast delivery and product matched description.
P099,AllenSolly Fashion Product 099,AllenSolly Fashion Product 099 designed for reliable retail use.,Fashion,AllenSolly,3090.0,3090.0,0.245,2024-11-01 00:00:00,0.01522813688212928,No return on opened pack,How long does delivery take?,Warranty depends on category and seller policy.,Excellent customer experience and packaging.
P100,Philips Home Product 100,Philips Home Product 100 designed for reliable retail use.,Home,Philips,590.0,590.0,0.272,2024-02-02 00:00:00,0.009068441064638784,7 days replacement,Is cash on delivery available?,COD may be available depending on region.,Excellent customer experience and packaging.
